time,height
19.36,3.1713353279999996
19.38,3.1833460343999995
19.4,3.1928708532
19.42,3.1986694908
19.44,3.2073621468
19.46,3.2193728532
19.48,3.2313835596
19.5,3.242148672
19.52,3.2520869219999997
19.54,3.2616117408
19.56,3.2678238096
19.58,3.2777620596
19.6,3.291839922
19.62,3.3013647407999995
19.64,3.3075768096
19.66,3.3142023095999997
19.68,3.3195822155999997
19.7,3.3257942844
19.72,3.3315929219999996
19.74,3.3369728279999995
19.76,3.346911078
19.78,3.3543687407999996
19.8,3.3597486467999995
19.82,3.3688600344
19.84,3.3750721032
19.86,3.3783848532
19.88,3.3825244655999995
19.9,3.3845969219999996
19.92,3.3858372156
19.94,3.3862506467999998
19.96,3.386664078
19.98,3.3870828096
20.0,3.3874962407999996
20.02,3.3895633967999994
20.04,3.3883231032
20.06,3.3879096719999997
20.08,3.3899768279999996
20.1,3.3899768279999996
20.12,3.3899768279999996
20.14,3.3916358532
20.16,3.3932895779999996
20.18,3.3941217408
20.2,3.3966023279999997
20.22,3.401160672
20.24,3.404473422
20.26,3.4061271468
20.28,3.411098922
20.3,3.416478828
20.32,3.4239364908
20.34,3.4318022844
20.36,3.4392546468
20.38,3.4483660344
20.4,3.456231828
20.42,3.4645163532
20.44,3.4723821468
20.46,3.4819069656
20.48,3.492672078
20.5,3.502610328
20.52,3.5096545596
20.54,3.5129673095999996
20.56,3.517106922
20.58,3.5200062408
20.6,3.5241458532
20.62,3.5291123279999996
20.64,3.5328438095999997
20.66,3.5357378280000002
20.68,3.5398827408
20.7,3.5460948095999996
20.72,3.5506478532
20.74,3.5539606031999997
20.76,3.5560330596
20.78,3.5572733532
20.8,3.560172672
20.82,3.5643122843999997
20.84,3.5651391468
20.86,3.5643122843999997
20.88,3.5651391468
20.9,3.5676250344
20.92,3.5713512155999996
20.94,3.5759095596000003
20.96,3.5792223096
20.98,3.5825350596
21.0,3.5846022156
21.02,3.5875015344
21.04,3.5891605596
21.06,3.5891605596
21.08,3.5891605596
21.1,3.5866746719999996
21.12,3.5854290779999998
21.14,3.5866746719999996
21.16,3.5895739908
21.18,3.5895739908
21.2,3.5870881031999997
21.22,3.5858478095999997
21.24,3.5846022156
21.26,3.5841887843999998
21.28,3.5862612408
21.3,3.5866746719999996
21.32,3.5870881031999997
21.34,3.5875015344
21.36,3.5870881031999997
21.38,3.5891605596
21.4,3.5916411468
21.42,3.5924733096
21.44,3.5891605596
21.46,3.5883283968
21.48,3.5916411468
21.5,3.5924733096
21.52,3.593300172
21.54,3.5957860595999995
21.56,3.5970263532
21.58,3.5974397843999997
21.6,3.5970263532
21.62,3.6007525344
21.64,3.6082048968
21.66,3.6135901031999995
21.68,3.6177297156
21.7,3.6193887408
21.72,3.6210424656
21.74,3.6210424656
21.76,3.6160759908
